Scenario,State,Sector,Year,value
Reference,B,Commercial,2014,6.761156148
Reference,B,Industrial,2014,4.480546723
Reference,B,Transportation,2014,31.89457561
Reference,B,Electric Power,2014,12.68891582
Reference,A,Residential,2015,2.320197463
Reference,A,Commercial,2015,1.474636531
Reference,A,Industrial,2015,0.934033017
Reference,A,Transportation,2015,7.199174058
Reference,A,Electric Power,2015,4.038879784
Reference,B,Residential,2015,13.82127625
Reference,B,Commercial,2015,6.678789377
Reference,B,Industrial,2015,4.619779159
Reference,B,Transportation,2015,31.7046607
Reference,B,Electric Power,2015,12.75403179
Reference,A,Residential,2016,2.305293363
Reference,A,Commercial,2016,1.490444114
Reference,A,Industrial,2016,0.972234343
Reference,A,Transportation,2016,7.181885402
Reference,A,Electric Power,2016,3.107421587
Reference,B,Residential,2016,13.78393173
Reference,B,Commercial,2016,6.745276477
Reference,B,Industrial,2016,4.786973395
Reference,B,Transportation,2016,31.68050307
Reference,B,Electric Power,2016,11.3380254
Reference,A,Residential,2017,2.286413262
Reference,A,Commercial,2017,1.501359675
Reference,A,Industrial,2017,0.993405323
Reference,A,Transportation,2017,7.135622689
Reference,A,Electric Power,2017,3.620554932
Reference,B,Residential,2017,13.72746223
Reference,B,Commercial,2017,6.797761758
Reference,B,Industrial,2017,4.876558353
Reference,B,Transportation,2017,31.53925009
Reference,B,Electric Power,2017,12.36809021
Reference,A,Residential,2018,2.263237186
Reference,A,Commercial,2018,1.504711643
Reference,A,Industrial,2018,1.006298924
Reference,A,Transportation,2018,7.068131148
Reference,A,Electric Power,2018,4.186887471
Reference,B,Residential,2018,13.640649
Reference,B,Commercial,2018,6.818674654
Reference,B,Industrial,2018,4.926832509
Reference,B,Transportation,2018,31.29651672
Reference,B,Electric Power,2018,13.35100913
Reference,A,Residential,2019,2.237740716
Reference,A,Commercial,2019,1.505273066
Reference,A,Industrial,2019,1.01461747
Reference,A,Transportation,2019,6.985933826
Reference,A,Electric Power,2019,4.426732058
Reference,B,Residential,2019,13.54163141
Reference,B,Commercial,2019,6.833744997
Reference,B,Industrial,2019,4.974229029
Reference,B,Transportation,2019,30.997115
Reference,B,Electric Power,2019,13.73775017
Reference,A,Residential,2020,2.212205455
Reference,A,Commercial,2020,1.504271317
Reference,A,Industrial,2020,1.024062863
Reference,A,Transportation,2020,6.896936024
Reference,A,Electric Power,2020,4.421686181
Reference,B,Residential,2020,13.44511558
Reference,B,Commercial,2020,6.845817756
Reference,B,Industrial,2020,5.032690663
Reference,B,Transportation,2020,30.66720442
Reference,B,Electric Power,2020,13.59808782
Reference,A,Residential,2021,2.186665462
Reference,A,Commercial,2021,1.501944425
Reference,A,Industrial,2021,1.032135394
Reference,A,Transportation,2021,6.803987385
Reference,A,Electric Power,2021,4.419696587
Reference,B,Residential,2021,13.34116161
Reference,B,Commercial,2021,6.846806043
Reference,B,Industrial,2021,5.081016295
Reference,B,Transportation,2021,30.3256885
Reference,B,Electric Power,2021,13.49737336
Reference,A,Residential,2022,2.161892426
Reference,A,Commercial,2022,1.498353835
Reference,A,Industrial,2022,1.041212695
Reference,A,Transportation,2022,6.707656766
Reference,A,Electric Power,2022,4.366418087
Reference,B,Residential,2022,13.23737464
Reference,B,Commercial,2022,6.846433929
Reference,B,Industrial,2022,5.138350197
Reference,B,Transportation,2022,29.96990177
Reference,B,Electric Power,2022,13.23765098
Reference,A,Residential,2023,2.138744813
Reference,A,Commercial,2023,1.496712658
Reference,A,Industrial,2023,1.051643448
Reference,A,Transportation,2023,6.610749269
Reference,A,Electric Power,2023,4.323416001
Reference,B,Residential,2023,13.13996101
Reference,B,Commercial,2023,6.852326597
Reference,B,Industrial,2023,5.198280086
Reference,B,Transportation,2023,29.61361708
Reference,B,Electric Power,2023,13.03794877
Reference,A,Residential,2024,2.117022071
Reference,A,Commercial,2024,1.495229579
Reference,A,Industrial,2024,1.062067672
Reference,A,Transportation,2024,6.510305367
Reference,A,Electric Power,2024,4.301803568
Reference,B,Residential,2024,13.04547271
Reference,B,Commercial,2024,6.855686713
Reference,B,Industrial,2024,5.251008408
Reference,B,Transportation,2024,29.2489079
Reference,B,Electric Power,2024,12.93663013
Reference,A,Residential,2025,2.095206248
Reference,A,Commercial,2025,1.49285005
Reference,A,Industrial,2025,1.074370087
Reference,A,Transportation,2025,6.408171817
Reference,A,Electric Power,2025,4.301037282
Reference,B,Residential,2025,12.94424416
Reference,B,Commercial,2025,6.850666054
Reference,B,Industrial,2025,5.310172712
Reference,B,Transportation,2025,28.88202779
Reference,B,Electric Power,2025,12.91404345
Reference,A,Residential,2026,2.074051677
Reference,A,Commercial,2026,1.489688994
Reference,A,Industrial,2026,1.085974439
Reference,A,Transportation,2026,6.315477952
Reference,A,Electric Power,2026,4.22435544
Reference,B,Residential,2026,12.8447799
Reference,B,Commercial,2026,6.846309756
Reference,B,Industrial,2026,5.370947909
Reference,B,Transportation,2026,28.54732517
Reference,B,Electric Power,2026,12.60730995
Reference,A,Residential,2027,2.053001631
Reference,A,Commercial,2027,1.486606975
Reference,A,Industrial,2027,1.095241154
Reference,A,Transportation,2027,6.22964766
Reference,A,Electric Power,2027,4.970618695
Reference,B,Residential,2027,12.74361355
Reference,B,Commercial,2027,6.843574774
Reference,B,Industrial,2027,5.421120827
Reference,B,Transportation,2027,28.23409871
Reference,B,Electric Power,2027,13.60661197
Reference,A,Residential,2028,2.032389176
Reference,A,Commercial,2028,1.486711549
Reference,A,Industrial,2028,1.102572113
Reference,A,Transportation,2028,6.154783266
Reference,A,Electric Power,2028,5.205404576
Reference,B,Residential,2028,12.64245837
Reference,B,Commercial,2028,6.852455761
Reference,B,Industrial,2028,5.464094247
Reference,B,Transportation,2028,27.96923606
Reference,B,Electric Power,2028,13.98446898
Reference,A,Residential,2029,2.012027121
Reference,A,Commercial,2029,1.484065958
Reference,A,Industrial,2029,1.110075095
Reference,A,Transportation,2029,6.091699184
Reference,A,Electric Power,2029,5.15822478
Reference,B,Residential,2029,12.53838986
Reference,B,Commercial,2029,6.853362279
Reference,B,Industrial,2029,5.506966209
Reference,B,Transportation,2029,27.7506007
Reference,B,Electric Power,2029,13.71041213
Reference,A,Residential,2030,1.99228036
Reference,A,Commercial,2030,1.483681331
